2021-09-22 03:10:27,493 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [CoordSys] in VentionAssembly_12773_v36.SLDASM
2021-09-22 03:10:27,497 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-09-22 03:10:27,597 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2021-09-22 03:10:27,597 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from VentionAssembly_12773_v36.STEP-1
2021-09-22 03:10:27,598 INFO  ExportHelperExtension.cs: 1136 - Found 83 in VentionAssembly_12773_v36.STEP-1
2021-09-22 03:10:27,599 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in VentionAssembly_12773_v36.STEP-1
2021-09-22 03:10:27,599 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from VentionAssembly_12773_v36.SLDASM
2021-09-22 03:10:27,601 INFO  ExportHelperExtension.cs: 1136 - Found 28 in VentionAssembly_12773_v36.SLDASM
2021-09-22 03:10:27,601 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in VentionAssembly_12773_v36.SLDASM
2021-09-22 03:10:27,601 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-09-22 03:10:27,602 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2021-09-22 03:10:27,602 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from VentionAssembly_12773_v36.STEP-1
2021-09-22 03:10:27,602 INFO  ExportHelperExtension.cs: 1136 - Found 83 in VentionAssembly_12773_v36.STEP-1
2021-09-22 03:10:27,603 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in VentionAssembly_12773_v36.STEP-1
2021-09-22 03:10:27,671 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2021-09-22 03:11:02,673 INFO  AssemblyExportForm.cs: 253 - Completing URDF export
2021-09-22 03:11:02,681 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
